"CustomerID","Gender","Age","Partner","Dependents","Tenure","MultipleLines","InternetService","OnlineProtect","TechSupport","Streaming","Outage","ContractType","MonthlyCharges","Churn","Pilot","ChurnIn"
"0002-ORFBO","Female",38,"Yes","Yes",9,1,"5G",2,3,1,"Occasional",12,65.6,"No",0,29
"0004-TLHLJ","Male",47,"No","No",4,1,"Fiber optic",0,2,0,"Frequent",1,73.9,"Yes",0,NA
"0013-EXCHZ","Female",88,"Yes","No",3,1,"Fiber optic",0,3,1,"Occasional",1,83.9,"Yes",0,NA
"0013-MHZWF","Female",59,"No","Yes",9,1,"5G",0,3,3,"Occasional",1,69.4,"No",0,19
"0013-SMEOE","Female",73,"Yes","No",71,1,"5G",3,3,3,"Occasional",24,109.7,"No",0,42
"0015-UOCOJ","Female",90,"No","No",7,1,"5G",1,2,0,"Occasional",1,48.2,"No",0,33
"0016-QLJIS","Female",50,"Yes","Yes",65,2,"DSL",3,3,3,"Occasional",24,90.45,"No",0,32
"0018-NYROU","Female",29,"Yes","No",5,1,"Fiber optic",0,2,0,"Occasional",1,68.95,"No",0,25
"0019-EFAEP","Female",25,"No","No",72,2,"5G",3,2,1,"Occasional",24,101.3,"No",0,42
"0019-GFNTW","Female",49,"No","No",56,0,"DSL",3,3,0,"Occasional",24,45.05,"No",0,5
"0020-INWCK","Female",61,"Yes","Yes",71,2,"5G",2,2,2,"Occasional",24,95.75,"No",0,37
"0020-JDNXP","Female",44,"Yes","Yes",34,0,"DSL",1,3,3,"Occasional",12,61.25,"No",0,10
"0021-IKXGC","Female",68,"No","No",1,2,"DSL",0,2,0,"Occasional",1,72.1,"No",1,18
"0023-HGHWL","Male",60,"No","No",1,0,"DSL",0,2,0,"Frequent",1,25.1,"Yes",0,NA
"0030-FNXPP","Female",47,"No","No",3,1,"5G",0,1,0,"Occasional",1,19.85,"No",1,6
"0031-PVLZI","Female",40,"No","No",4,1,"5G",0,1,0,"Occasional",1,20.35,"Yes",0,NA
